property,row,field,location,original,inferred,reason,confidence,auto_filled
Cabbagetown,170,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,175,Area Type,Gr. Floor Areas,Unknown,,location name has no recognizable area keyword,Low,no
Cabbagetown,205,Area Type,Floors (27th-12th),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,206,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,207,Area Type,Floors (27th-12th),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,208,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,209,Area Type,Floors (11th-2nd),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,210,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,211,Area Type,Floors (11th-2nd),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,212,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,236,Area Type,Baseboards,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,236,Frequency,Baseboards,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,237,Frequency,Resident doors & thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,238,Area Type,Ventilation and wallpaper around it,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,238,Frequency,Ventilation and wallpaper around it,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,239,Frequency,Corridor lighting,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,240,Area Type,Fire Cabinets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,240,Frequency,Fire Cabinets,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,241,Frequency,Elevator doors and frames & TRACKS (that floor only),Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,242,Frequency,"Stairwells doors, frames, thresholds & hinges (top of door)",Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,243,Frequency,All metal thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,244,Frequency,Chute Room Tiles,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,246,Task,Main entrance w/Enterphone area,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,247,Task,2 Exits west/east,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,248,Task,2 Sitting Areas,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,249,Task,Security desk,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,250,Task,Mail room/ Parcel Rm.,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,251,Task,manager assistant Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,252,Task,Leasing Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,253,Task,manager Office Sitting area x 2,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,254,Task,all glass of the lobby,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,255,Task,3 Elevators (#E1 to #E3),(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,266,Task,Main entrance w/Enterphone area,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,267,Task,2 Exits west/east,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,268,Task,2 Sitting Areas,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,269,Task,Security desk,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,270,Task,Mail room/ Parcel Rm.,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,271,Task,Mngr. Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,272,Task,Leasing Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,273,Task,PM Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,274,Task,3 Elevators (#E1 to #E3),(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,277,Task,Main entrance w/Enterphone area,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,278,Task,2 Exits west/east,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,279,Task,2 Sitting Areas,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,280,Task,Security desk,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,281,Task,Mail room/ Parcel Rm.,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,282,Task,manager assistant Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,283,Task,Leasing Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,284,Task,manager Office Sitting area x 2,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,285,Task,all glass of the lobby,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,286,Task,3 Elevators (#E1 to #E3),(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,297,Task,Main entrance w/Enterphone area,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,298,Task,2 Exits west/east,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,299,Task,2 Sitting Areas,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,300,Task,Security desk,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,301,Task,Mail room/ Parcel Rm.,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,302,Task,Mngr. Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,303,Task,Leasing Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,304,Task,PM Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,305,Task,3 Elevators (#E1 to #E3),(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,308,Frequency,Ground Floor / Parking janitor rooms,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,309,Area Type,(all mopped areas),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,21,Area Type,Gr. Floor Areas,Unknown,,location name has no recognizable area keyword,Low,no
Elm_Ledbury,41,Area Type,UPH Floor Bar,Unknown,Amenity - Indoor,location name contains 'bar',High,yes
Elm_Ledbury,51,Area Type,Floors (PH-12th),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,52,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,54,Area Type,Floors (PH-12th),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,55,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,57,Area Type,Floors (11th-3rd),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,58,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,60,Area Type,Floors (11th-3rd),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,61,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,80,Area Type,2nd Floor BatterSea Bridge,Unknown,,location name has no recognizable area keyword,Low,no
Elm_Ledbury,89,Area Type,UPH Floor Bar,Unknown,Amenity - Indoor,location name contains 'bar',High,yes
Elm_Ledbury,92,Area Type,Glass/mirrors 2nd floor,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,93,Area Type,Glass/mirrors 10th floor,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,94,Area Type,Glass/mirrors UPH floor,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,95,Area Type,Glass/mirrors UPH floor,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,101,Area Type,Baseboards,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,101,Frequency,Baseboards,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,102,Area Type,Doors,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,102,Frequency,Doors,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,103,Frequency,Thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,104,Area Type,Fire Cabinets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,104,Frequency,Fire Cabinets,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,105,Area Type,Ventilation and wallpaper around it,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,105,Frequency,Ventilation and wallpaper around it,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,106,Frequency,Corridor lighting,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,107,Frequency,Elevator doors and frames,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,108,Frequency,"Stairwells doors, frames, thresholds & hinges (top of door)",Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,109,Frequency,All metal thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,110,Frequency,Kitchen and kitchenettes,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,111,Frequency,BBQs,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,112,Frequency,Sitting areas,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,113,Frequency,Gym machinery,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,116,Task,2nd Floor Raptors Basketball Court,(no explicit task verb stated),Mop,source_text contains action 'mop',Medium,no
Elm_Ledbury,138,Area Type,2nd Floor BatterSea Bridge,Unknown,,location name has no recognizable area keyword,Low,no
Elm_Ledbury,146,Area Type,UPH Floor Bar,Unknown,Amenity - Indoor,location name contains 'bar',High,yes
Elm_Ledbury,164,Area Type,ELM ½ Outdoors,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,179,Area Type,Gr. Floor Areas,Unknown,,location name has no recognizable area keyword,Low,no
Elm_Ledbury,196,Area Type,ELM ½ Outdoors,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,198,Area Type,ELM ½ Outdoors,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,213,Area Type,Gr. Floor Areas,Unknown,,location name has no recognizable area keyword,Low,no
Elm_Ledbury,230,Area Type,ELM ½ Outdoors,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,241,Area Type,2nd Floor BatterSea Bridge,Unknown,,location name has no recognizable area keyword,Low,no
Elm_Ledbury,250,Area Type,UPH Floor Bar,Unknown,Amenity - Indoor,location name contains 'bar',High,yes
Elm_Ledbury,272,Area Type,2nd Floor BatterSea Bridge,Unknown,,location name has no recognizable area keyword,Low,no
Elm_Ledbury,281,Area Type,UPH Floor Bar,Unknown,Amenity - Indoor,location name contains 'bar',High,yes
Elm_Ledbury,303,Area Type,2nd Floor BatterSea Bridge,Unknown,,location name has no recognizable area keyword,Low,no
Elm_Ledbury,321,Area Type,UPH Floor Bar,Unknown,Amenity - Indoor,location name contains 'bar',High,yes
Elm_Ledbury,354,Area Type,2nd Floor BatterSea Bridge,Unknown,,location name has no recognizable area keyword,Low,no
Elm_Ledbury,372,Area Type,UPH Floor Bar,Unknown,Amenity - Indoor,location name contains 'bar',High,yes
Elm_Ledbury,395,Area Type,(building-wide),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,395,Frequency,(building-wide),Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,396,Area Type,(building-wide),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,396,Frequency,(building-wide),Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,397,Area Type,(building-wide),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,397,Frequency,(building-wide),Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,398,Area Type,(building-wide),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,398,Frequency,(building-wide),Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,399,Area Type,(building-wide),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,399,Frequency,(building-wide),Unknown,As needed,notes/source_text state cadence ('As needed'),High,yes
Elm_Ledbury,400,Area Type,Ground Floor / 2nd Floor / UPH Floor janitor rooms,Unknown,Back-of-House,location name contains 'janitor',High,yes
Elm_Ledbury,400,Frequency,Ground Floor / 2nd Floor / UPH Floor janitor rooms,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,401,Area Type,(all mopped areas),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,422,Area Type,Gr. Floor Areas,Unknown,,location name has no recognizable area keyword,Low,no
Elm_Ledbury,436,Area Type,Baseboards,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,436,Frequency,Baseboards,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,437,Frequency,Resident doors & thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,438,Area Type,Ventilation and wallpaper around it,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,438,Frequency,Ventilation and wallpaper around it,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,439,Frequency,Corridor lighting,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,440,Area Type,Fire Cabinets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,440,Frequency,Fire Cabinets,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,441,Frequency,Elevator doors and frames & TRACKS (that floor only) PH-P4,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,442,Frequency,"Stairwells doors, frames, thresholds & hinges (top of door)",Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,443,Frequency,All metal thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,444,Frequency,Chute Room Tiles,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Elm_Ledbury,446,Area Type,UPH Floor Bar,Unknown,Amenity - Indoor,location name contains 'bar',High,yes
Elm_Ledbury,450,Area Type,2nd Floor BatterSea Bridge,Unknown,,location name has no recognizable area keyword,Low,no
Elm_Ledbury,451,Area Type,Floors (PH-12th),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Elm_Ledbury,452,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
