property,field,location,original,best_guess,reason,confidence
Cabbagetown,Task,2 Exits west/east,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,2 Sitting Areas,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Security desk,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Mail room/ Parcel Rm.,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Mngr. Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Leasing Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,PM Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,3 Elevators (#E1 to #E3),(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Area Type,Baseboards,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Frequency,Baseboards,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Resident doors & thresholds,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Area Type,Ventilation and wallpaper around it,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Frequency,Ventilation and wallpaper around it,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Corridor lighting,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Area Type,Fire Cabinets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Frequency,Fire Cabinets,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Elevator doors and frames & TRACKS (that floor only),Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,"Stairwells doors, frames, thresholds & hinges (top of door)",Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,All metal thresholds,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Chute Room Tiles,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Area Type,Gr. Floor Areas,Unknown,—,location name has no recognizable area keyword,Low
Cabbagetown,Area Type,Gr. Floor Areas,Unknown,—,location name has no recognizable area keyword,Low
Cabbagetown,Area Type,Baseboards,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Frequency,Baseboards,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Area Type,Doors,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Frequency,Doors,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Thresholds,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Area Type,Fire Cabinets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Frequency,Fire Cabinets,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Area Type,Ventilation and wallpaper around it,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Frequency,Ventilation and wallpaper around it,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Corridor lighting,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Elevator doors and frames,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,"Stairwells doors, frames, thresholds & hinges (top of door)",Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,All metal thresholds,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Kitchen and kitchenettes,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Sitting areas,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Gym machinery,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Task,Main entrance w/Enterphone area,(no explicit task verb stated),—,no task verb in source_text or sibling rows,Low
Cabbagetown,Task,2 Exits west/east,(no explicit task verb stated),—,no task verb in source_text or sibling rows,Low
Cabbagetown,Task,2 Sitting Areas,(no explicit task verb stated),—,no task verb in source_text or sibling rows,Low
Cabbagetown,Task,Security desk,(no explicit task verb stated),—,no task verb in source_text or sibling rows,Low
Cabbagetown,Task,Mail room/ Parcel Rm.,(no explicit task verb stated),—,no task verb in source_text or sibling rows,Low
Cabbagetown,Task,Sitting area x 2,(no explicit task verb stated),—,no task verb in source_text or sibling rows,Low
Cabbagetown,Task,all glass of the lobby,(no explicit task verb stated),—,no task verb in source_text or sibling rows,Low
Cabbagetown,Task,3 Elevators (#E1 to #E3),(no explicit task verb stated),—,no task verb in source_text or sibling rows,Low
Cabbagetown,Task,Main entrance w/Enterphone area,(no explicit task verb stated) - afternoon pass,—,no task verb in source_text or sibling rows,Low
Cabbagetown,Task,2 Exits west/east,(no explicit task verb stated) - afternoon pass,—,no task verb in source_text or sibling rows,Low
Cabbagetown,Task,2 Sitting Areas,(no explicit task verb stated) - afternoon pass,—,no task verb in source_text or sibling rows,Low
Cabbagetown,Task,Security desk,(no explicit task verb stated) - afternoon pass,—,no task verb in source_text or sibling rows,Low
Cabbagetown,Task,Mail room/ Parcel Rm.,(no explicit task verb stated) - afternoon pass,—,no task verb in source_text or sibling rows,Low
Cabbagetown,Task,Sitting area x 2,(no explicit task verb stated) - afternoon pass,—,no task verb in source_text or sibling rows,Low
Cabbagetown,Task,all glass of the lobby,(no explicit task verb stated) - afternoon pass,—,no task verb in source_text or sibling rows,Low
Cabbagetown,Task,3 Elevators (#E1 to #E3),(no explicit task verb stated) - afternoon pass,—,no task verb in source_text or sibling rows,Low
Cabbagetown,Area Type,Baseboards,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Frequency,Baseboards,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Area Type,Doors,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Frequency,Doors,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Thresholds,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Area Type,Fire Cabinets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Frequency,Fire Cabinets,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Area Type,Ventilation and wallpaper around it,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Frequency,Ventilation and wallpaper around it,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Corridor lighting,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Elevator doors and frames,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,"Stairwells doors, frames, thresholds & hinges (top of door)",Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,All metal thresholds,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Kitchen and kitchenettes,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Sitting areas,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Gym machinery,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Area Type,Floors (24th-12th),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Area Type,Carpets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Area Type,Floors (24th-12th),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Area Type,Carpets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Area Type,Floors (11th-2nd),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Area Type,Carpets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Area Type,Floors (11th-2nd),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Area Type,Carpets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Area Type,Gr. Floor Areas,Unknown,—,location name has no recognizable area keyword,Low
Cabbagetown,Area Type,Floors (27th-12th),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Area Type,Carpets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Area Type,Floors (27th-12th),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Area Type,Carpets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Area Type,Floors (11th-2nd),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Area Type,Carpets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Area Type,Floors (11th-2nd),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Area Type,Carpets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Area Type,Baseboards,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Frequency,Baseboards,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Resident doors & thresholds,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Area Type,Ventilation and wallpaper around it,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Frequency,Ventilation and wallpaper around it,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Corridor lighting,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Area Type,Fire Cabinets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Frequency,Fire Cabinets,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Elevator doors and frames & TRACKS (that floor only),Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,"Stairwells doors, frames, thresholds & hinges (top of door)",Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,All metal thresholds,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Chute Room Tiles,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Task,Main entrance w/Enterphone area,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,2 Exits west/east,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,2 Sitting Areas,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Security desk,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Mail room/ Parcel Rm.,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,manager assistant Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Leasing Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,manager Office Sitting area x 2,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,all glass of the lobby,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,3 Elevators (#E1 to #E3),(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Main entrance w/Enterphone area,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,2 Exits west/east,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,2 Sitting Areas,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Security desk,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Mail room/ Parcel Rm.,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Mngr. Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Leasing Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,PM Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,3 Elevators (#E1 to #E3),(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Main entrance w/Enterphone area,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,2 Exits west/east,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,2 Sitting Areas,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Security desk,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Mail room/ Parcel Rm.,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,manager assistant Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Leasing Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,manager Office Sitting area x 2,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,all glass of the lobby,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,3 Elevators (#E1 to #E3),(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Main entrance w/Enterphone area,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,2 Exits west/east,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,2 Sitting Areas,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Security desk,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Mail room/ Parcel Rm.,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Mngr. Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Leasing Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,PM Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,3 Elevators (#E1 to #E3),(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Frequency,Ground Floor / Parking janitor rooms,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Area Type,(all mopped areas),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Gr. Floor Areas,Unknown,—,location name has no recognizable area keyword,Low
Elm_Ledbury,Area Type,Floors (PH-12th),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Carpets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Floors (PH-12th),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Carpets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Floors (11th-3rd),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Carpets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Floors (11th-3rd),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Carpets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,2nd Floor BatterSea Bridge,Unknown,—,location name has no recognizable area keyword,Low
Elm_Ledbury,Area Type,Glass/mirrors 2nd floor,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Glass/mirrors 10th floor,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Glass/mirrors UPH floor,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Glass/mirrors UPH floor,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Baseboards,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Frequency,Baseboards,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Area Type,Doors,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Frequency,Doors,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Frequency,Thresholds,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Area Type,Fire Cabinets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Frequency,Fire Cabinets,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Area Type,Ventilation and wallpaper around it,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Frequency,Ventilation and wallpaper around it,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Frequency,Corridor lighting,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Frequency,Elevator doors and frames,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Frequency,"Stairwells doors, frames, thresholds & hinges (top of door)",Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Frequency,All metal thresholds,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Frequency,Kitchen and kitchenettes,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Frequency,BBQs,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Frequency,Sitting areas,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Frequency,Gym machinery,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Task,2nd Floor Raptors Basketball Court,(no explicit task verb stated),Mop,source_text contains action 'mop',Medium
Elm_Ledbury,Area Type,2nd Floor BatterSea Bridge,Unknown,—,location name has no recognizable area keyword,Low
Elm_Ledbury,Area Type,ELM ½ Outdoors,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Gr. Floor Areas,Unknown,—,location name has no recognizable area keyword,Low
Elm_Ledbury,Area Type,ELM ½ Outdoors,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,ELM ½ Outdoors,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Gr. Floor Areas,Unknown,—,location name has no recognizable area keyword,Low
Elm_Ledbury,Area Type,ELM ½ Outdoors,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,2nd Floor BatterSea Bridge,Unknown,—,location name has no recognizable area keyword,Low
Elm_Ledbury,Area Type,2nd Floor BatterSea Bridge,Unknown,—,location name has no recognizable area keyword,Low
Elm_Ledbury,Area Type,2nd Floor BatterSea Bridge,Unknown,—,location name has no recognizable area keyword,Low
Elm_Ledbury,Area Type,2nd Floor BatterSea Bridge,Unknown,—,location name has no recognizable area keyword,Low
Elm_Ledbury,Area Type,(building-wide),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Frequency,(building-wide),Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Area Type,(building-wide),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Frequency,(building-wide),Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Area Type,(building-wide),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Frequency,(building-wide),Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Area Type,(building-wide),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Frequency,(building-wide),Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Area Type,(building-wide),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Frequency,Ground Floor / 2nd Floor / UPH Floor janitor rooms,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Area Type,(all mopped areas),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Gr. Floor Areas,Unknown,—,location name has no recognizable area keyword,Low
Elm_Ledbury,Area Type,Baseboards,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Frequency,Baseboards,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Frequency,Resident doors & thresholds,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Area Type,Ventilation and wallpaper around it,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Frequency,Ventilation and wallpaper around it,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Frequency,Corridor lighting,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Area Type,Fire Cabinets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Frequency,Fire Cabinets,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Frequency,Elevator doors and frames & TRACKS (that floor only) PH-P4,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Frequency,"Stairwells doors, frames, thresholds & hinges (top of door)",Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Frequency,All metal thresholds,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Frequency,Chute Room Tiles,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Area Type,2nd Floor BatterSea Bridge,Unknown,—,location name has no recognizable area keyword,Low
Elm_Ledbury,Area Type,Floors (PH-12th),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Carpets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Floors (PH-12th),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Carpets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Floors (11th-3rd),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Carpets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Floors (11th-3rd),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Carpets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Carpets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Glass/mirrors 2nd floor,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Gr. Floor Areas,Unknown,—,location name has no recognizable area keyword,Low
Elm_Ledbury,Area Type,Glass/mirrors UPH Level,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,Gr. Floor Areas,Unknown,—,location name has no recognizable area keyword,Low
Elm_Ledbury,Area Type,Glass/mirrors UPH Level,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Area Type,(building-wide),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Frequency,(building-wide),Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Area Type,(building-wide),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Frequency,(building-wide),Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Area Type,(building-wide),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Frequency,(building-wide),Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Area Type,(building-wide),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Frequency,(building-wide),Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Area Type,(building-wide),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Elm_Ledbury,Frequency,Ground Floor / UPH Floor janitor rooms,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Elm_Ledbury,Area Type,(all mopped areas),Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Maddox-Tyndall,Area Type,glass doors,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Maddox-Tyndall,Area Type,glass doors,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Maddox-Tyndall,Area Type,Glass,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
